keys,es,en
ENEMIES_NOTE_GRIJAYLA_ATTACK_DESC,"Hermanos, nos han encomendado la misión de buscar al Gobernador de Grijayla y llevarlo ante la presencia de nuestro señor Trithemius. Sigan las ordenes de la Adeptis primera y dirijanse a la parte Noroeste de la ciudad.

Hemos marcado en este mapa la ubicación de la llave que bloquea el acceso al puente en caso de requerir refuerzos.

Que Athos esté con ustedes.","Brothers, we have been entrusted with the mission to find the Governor of Grijayla and bring him to the presence of our Lord Trithemius. Follow the orders of the Adeptis primera and head to the northwest part of the city.

We have marked on this map the location of the key that blocks access to the bridge in case reinforcements are required.

Athos be with you."
ENEMIES_NOTE_GRIJAYLA_ATTACK_TITLE,Ataque en Grijayla,Attack in Grijayla
ALCHEMIST_ORDER_MANUAL_I_TITLE,Resistencia del cuerpo.,Body resistance.
ALCHEMIST_ORDER_MANUAL_I_DESC,"El cuerpo humano tiene cierto límite para resistir ambientes hostiles, como lugares con frío extremo, altas temperaturas o incluso estar debajo del agua.

Al adentrarte en estas zonas, se mostrará una barra que indica la resistencia del cuerpo, la cual se llenará con el tiempo y, si alcanza su límite, comenzarás a perder salud continuamente hasta morir.

Los Alquimistas pueden hacer uso de equipamiento especial u objetos que ayuden a resistir por más tiempo.

También se han escuchado rumores de que existen Circuitos Elementales que otorgan la habilidad de permanecer en estas zonas hostiles indefinidamente.","The human body has a certain limit to resist hostile environments, such as places with extreme cold, high temperatures or even being underwater.

When you enter these areas, a bar indicating the body's resistance will be displayed, which will fill up over time and, if it reaches its limit, you will start to lose health continuously until you die.

Alchemists can make use of special equipment or items that help them resist for a longer period of time.

There have also been rumors that Elemental Circuits exist that grant the ability to remain in these hostile zones indefinitely."
ALCHEMIST_ORDER_MANUAL_II_TITLE,Propiedades Fisicas/Element.,Physical Properties/Element.
ALCHEMIST_ORDER_MANUAL_II_DESC,"Existen cuatro tipos de [Propiedades Físicas]: Sólido, Líquido, Gas e Intactilis.

Cualquier objeto o ser vivo presenta una de estas propiedades, las cuales determinan los posibles efectos que puede tener contra otros objetos o seres vivos, resumidos de la siguiente manera:

- Sólido interactúa con Sólido y Líquido.

- Líquido interactúa con Líquido y Gas.

- Gas interactúa con Gas, Sólido y Líquido.

- Intactilis interactúa con cualquier propiedad.

Un ejemplo sería que un objeto Sólido puede protegerte de un ataque Sólido o Líquido, pero no de un objeto de propiedad Intactilis, a menos que uses algo de la misma propiedad.

Además, opcionalmente, los objetos o seres vivos pueden presentar una o varias [Propiedades Elementales], tales como:

Aqua, Pyro, Frigo, Aeria, Electro, Lux y Tenebris.

En el caso de los seres vivos, pueden ser débiles, fuertes, invulnerables o absorber el daño de ciertas propiedades elementales. En el caso de los objetos, pueden reaccionar de diferentes maneras dependiendo de la propiedad elemental del objeto que entre en contacto.","There are four types of [Physical Properties]: Solid, Liquid, Gas and Intactilis.

Any object or living being presents one of these properties, which determine the possible effects it can have against other objects or living beings, summarized as follows:

- Solid interacts with Solid and Liquid.

- Liquid interacts with Liquid and Gas.

- Gas interacts with Gas, Solid and Liquid.

- Intactilis interacts with any property.

An example would be that a Solid object can protect you from a Solid or Liquid attack, but not from an Intactilis property object, unless you use something of the same property.

In addition, optionally, objects or living beings can present one or several [Elemental Properties], such as:

Aqua, Pyro, Frigo, Aeria, Electro, Lux and Tenebris.

In the case of living beings, they can be weak, strong, invulnerable or absorb damage from certain elemental properties. In the case of objects, they can react in different ways depending on the elemental property of the object they come in contact with."
ALCHEMIST_ORDER_MANUAL_III_TITLE,Estadísticas Base,Base Statistics
ALCHEMIST_ORDER_MANUAL_III_DESC,"Existen tres estadísticas base:

ATK determina daño que produces con tus armas principales y arrojadizas.

INT determina el daño causado por los Circuitos Elementales.

DEF reducirá el daño que recibas.

En el caso de Xandria. El látigo normal solo usa la mitad del ATK, mientras que el látigo espada usa su totalidad al igual que algunas subarmas. En el caso del ataque crush, su daño se determina por ATK+INT.

Ten en cuenta las debilidades y fortalezas elementales de tus ataques en cada enemigo para producir el mayor daño posible.","There are three base statistics:

ATK determines damage you deal with your main and throwing weapons.

INT determines the damage caused by Elemental Circuits.

DEF will reduce the damage you take.

In the case of Xandria. The normal whip only uses half of the ATK, while the sword whip uses its entirety as well as some subweapons. In the case of the crush attack, its damage is determined by ATK+INT.

Take into account the elemental weaknesses and strengths of your attacks on each enemy to produce the highest possible damage."
ALCHEMIST_ORDER_MANUAL_IV_TITLE,Estados negativos,Negative states
ALCHEMIST_ORDER_MANUAL_IV_DESC,"Algunos ataques además del daño inicial, provocan estados alterados en la persona.

- Lesionado: Cualquier daño que puedas infligir se reduce a la mitad.

- Envenenado: Perderás salud de manera continúa, aunque no llegará a matar.

- Maldito: Perderás Maná de manera continúa.

Recuerda que estos estados alterados no desaparecen sino usas algún objeto del inventario o guardas la partida.","Some attacks, in addition to the initial damage, provoke altered states in the person.

- Injured: Any damage you can inflict is reduced by half.

- Poisoned: You will lose health continuously, although it will not kill.

- Cursed: You will lose mana continuously.

Remember that these altered states don't disappear if you don't use any item from the inventory or save the game."
ALESSA_LETTER_I_TITLE,Carta de Alessa I,Alessa's Letter I
