keys,es,en,pt_BR,zh_CN
SACUANJOCHE_TITLE,Flor de Sacuanjoche,Sacuanjoche Flower,Flor de Sacuanjoche,鸡蛋花
SACUANJOCHE_DESC,"Una flor tratada con alquimia para que no se marchite. Fue el preciado regalo del ""hermano"" de Xandria.",A flower treated with alchemy so that it does not wither. It was a precious gift from Xandria's “brother.”,Uma flor tratada com alquimia então não murchará. É um presente precisoso do “irmão” de Xandria.,一朵经炼金术处理后永不枯萎的花。这是珊德莉雅那位“哥哥”送给她的珍贵礼物。
BATTLE_BOOTS_TITLE,Botas de Batalla,Battle Boots,Botas de Batalha,战斗靴
BATTLE_BOOTS_DESC,Botas básicas de cualquier alquimista.,Basic boots of any alchemist.,Botas básicas de qualquer alquimista.,任何炼金术师都会使用的基础靴子。
BATTLE_CLOTHES_TITLE,Vestido de Batalla,Battle Dress,Vestido de Batalha,战斗服
BATTLE_CLOTHES_DESC,Fue el regalo de Rachel por el ascenso de Xandria a [Alquimista Oficial].,Rachel's gift to Xandria for her promotion to [Official Alchemist].,Presente de Rachel para Xandria pela promoção a [Alquimista Oficial].,这是瑞秋为庆祝珊德莉雅晋升为 [正阶炼金术师] 而送出的礼物。
WITCH_HAT_TITLE,Sombrero de Bruja,Witch Hat,Chapéu de Bruxa,魔女帽
WITCH_HAT_DESC,"Proporciona inteligencia a su portador, además de aumentar velocidad de recuperación de maná.","Provides intelligence to its wearer, as well as increasing mana recovery speed.","Provém de inteligência ao seu portador, além de aumentar a velocidade de recuperação de mana.",赋予佩戴者更高的智力，并提升法力恢复速度。
DEMONSLAYERARMOR_TITLE,Armadura Matademonios,Demon Slayer Armor,Armadura de Matador de Demônios,斩魔铠甲
DEMONSLAYERARMOR_DESC,Armadura que emana un poder oscuro. Aumenta drásticamente las estadísticas pero mueres si un enemigo te toca.,Armor that emanates a dark power. Drastically increases stats but you die if an enemy touches you.,Armadura que emite poder negro. Aumenta drasticamente seus atributos mas você morre ao inimigo te tocar.,散发着黑暗力量的铠甲。能大幅提升属性，但一旦被敌人碰到就会死亡。
HERMES_BOOTS_TITLE,Botas de Hermes,Hermes Boots,Botas de Hermes,赫尔墨斯之靴
HERMES_BOOTS_DESC,Hechas de material ligero que aumenta la velocidad al correr y permite mantenerse en el aire al hacer daño con látigo.,Made of lightweight material that boosts running speed and allows you to stay in the air while attacking with the whip.,Feito de material leve que aumenta a velocidade de corrida e permite que você permaneça no ar enquanto ataca com o chicote.,由轻质材料制成，可提升奔跑速度，并让你在用鞭子攻击时停留于空中。
SORCERER_RING_TITLE,Anillo de Hechicero,Sorcerer Ring,Anel do Feiticeiro,术士戒指
SORCERER_RING_DESC,Anillo con un gran poder mágico que evita perder maná.,Ring with great magical power that prevents losing mana.,Anel com grande poder mágico que evita de perder mana.,蕴含强大魔力的戒指，可防止法力流失。
VIGOR_BOOTS_TITLE,Botas de Vigor,Vigor Boots,Botas de Vigor,活力之靴
VIGOR_BOOTS_DESC,"Botas cómodas que ayudan a mantener la resistencia física, recupera rápidamente estamina.",Comfortable boots that help maintain physical endurance and quickly recover stamina.,"Botas confortáveis que ajudam a manter a resistência física, recuperando rapidamente o vigor.",舒适的靴子，有助于维持体力并快速恢复耐力。
CHEAP_NECKLACE_TITLE,Collar barato,Cheap necklace,Colar barato,廉价项链
CHEAP_NECKLACE_DESC,"Un collar que sostiene una piedra que simula ser plata, aunque no tiene valor.","A necklace holding a stone that looks like silver, although it has no value.","Um colar carregando uma pedra que se assemelha a prata, mas não tem nenhum valor.",一条镶着仿银石头的项链，看着像银子，其实毫无价值。
RUSTY_HELMET_TITLE,Casco Oxidado,Rusty Helmet,Elmo enferrujado,锈蚀头盔
RUSTY_HELMET_DESC,Un casco de guerrero antiguo devastado por el tiempo.,An ancient warrior's helmet ravaged by time.,"Um elmo de um antigo guerreiro, destruído pelo tempo.",一顶被岁月侵蚀的古代战士头盔。
RUSTY_CUPPARMOR_TITLE,Armadura oxidada,Rusty armor,Armadura enferrujada,锈蚀护甲
RUSTY_CUPPARMOR_DESC,Parte de una armadura hecha de cobre oxidado.,Part of an armor made of oxidized copper.,Parte de uma armadura feita de cobre oxidado.,由氧化铜制成的护甲部件。
